BTS SERVICES INFORMATIQUES AUX ORGANISATIONS;;;;;;SESSION 2026;;;;;;
Tableau de synth se des r alisations professionnelles ;;;;;;;;;;;;
NOM et pr nom : ABOUDOULHAMIDI Djamil;;;;;N  candidat : 2248904219;;;;;;;
Centre de formation : Lyc e louis armand 94130 NOGENT-SUR-MARNE;;;;;Option :;? SISR;? SLAM;;;;;
Adresse URL du portfolio : https://djamil12-dot.github.io/portfolio/;;;;;;;;;;;;
"Comp tences mises en  uvre





















R alisations professionnelles
(intitul  et liste des documents et productions associ s)";P riode (sous la forme du JJ/MM/AA au JJ/MM/AA);G rer le patrimoine informatique;R pondre aux incidents et aux demandes d assistance et d  volution;D velopper la pr sence en ligne de l organisation;Travailler en mode projet;Mettre   disposition des utilisateurs un service informatique;Organiser son d veloppement professionnel;;;;;
;;"?Recenser et identifier les ressources num riques 
?Exploiter des r f rentiels, normes et standards adopt s par le prestataire informatique
?Mettre en place et v rifier les niveaux d habilitation associ s   un service
?V rifier les conditions de la continuit  d un service informatique
?G rer des sauvegardes
?V rifier le respect des r gles d utilisation des ressources num riques";"?Collecter, suivre et orienter des demandes 
?Traiter des demandes concernant les services r seau et syst me, applicatifs
?Traiter des demandes concernant les applications";"?Participer   la valorisation de l image de l organisation sur les m dias num riques en tenant compte du cadre juridique et des enjeux  conomiques
?R f rencer les services en ligne de l organisation et mesurer leur visibilit .
?Participer   l  volution d un site Web exploitant les donn es de l organisation.";"?Analyser les objectifs et les modalit s d organisation d un projet
?Planifier les activit s
? valuer les indicateurs de suivi d un projet et analyser les  carts";"?R aliser les tests d int gration et d acceptation d un service
?D ployer un service
?Accompagner les utilisateurs dans la mise en place d un service";"?Mettre en place son environnement d apprentissage personnel
?Mettre en  uvre des outils et strat gies de veille informationnelle
?G rer son identit  professionnelle
?D velopper son projet professionnel";;;;;
"R alisation en cours de formation

";;;;;;;;;;;;
Cr ation d'un site internet ;;;;;;X;;;;;;
Gestion d'une infrastructure r seau;;X;X;;;;;;;;;
Installation de windows serveur et configuration de celui ci ;;;X;;;X;;;;;;
Mise en place de l'Active Directory et cr ation de l'ensemble des utilisateur attitr  ;;X;X;;;X;;;;;;
Cr ation et gestion d'un pare-feu stormshield ;;;X;X;;;;;;;;
VPN SSL, IPSEC, Site to Site ;;;;X;;X;;;;;;
Cr ation d'un outil de gestion de ticket (GestSup);;X;X;;;X;;;;;;
Mise en place du DNS, DHCP et CA;;;;X;;X;;;;;;
attaque r alis    but pr ventif (man in the middle, arp spoofing, injection sql, dns spoofing;;;X;;;;;;;;;
Chiffrement symetrique et asym trique et communication s curis  TLS;;;;X;;;;;;;;
R alisations en milieu professionnel en cours de premi re ann e;;;;;;;;;;;;
;26/05/2025 au 4/07/2025;;;;;;;;;;;
Masterisation ;;X;X;;X;X;;;;;;
Syst me d'information g ographique ;;;X;X;X;;;;;;;
Gestion de l'inventaire avec un tableau dynamique;;X;;;X;;;;;;;
"D ploiement et standardisation d une infrastructure r seau  v nementielle pour l'H tel de Ville de Paris 
";;X;X;;;X;;;;;;
Remplacement des anciens postes par l'installation de station dans plusieurs mairies;;X;X;;X;X;;;;;;
installation de mat riel informatique et d ploiement des normes;;X;X;;;X;;;;;;
R alisations en milieu professionnel en cours de seconde ann e;;;;;;;;;;;;
;12/01/2026 au 13/02/2026;;;;;;;;;;;
Migration Windows 10   windows 11 ;;X;X;;X;;;;;;;
D ploiement et standardisation d une infrastructure r seau  v nementielle pour l'H tel de Ville de Paris ;;;;;;;;;;;;
Enrolement d'un smartphoe ;;X;X;;X;;;;;;;
Migraton Office 365, Deploiemet pour tout les agents ;;;;;;;;;;;;
Renforcement cybers curit , Authentification forte, sensibilisation, supervision renforc e ;;;X;;X;;;;;;;
Remplacemnt des  quipementsTDM, vers t l phoie moderne IP, mise en rseau nomm e VoIP;;X;X;;;X;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
